date,positiveTested,newPositiveTested,currentlyPositiveTested,newCurrentlyPositiveTested,cured,newCured,deceased,newDeceased,numberTests,newNumberTests,numberTestedPeople,newNumberTestedPeople,newPos/newTestedPeople,newPos/newNumberTests
05.03.2020,2,,,,0,0,0,5,60,,28,,,
06.03.2020,4,2,,,0,0,0,5,137,,,,,
07.03.2020,,,,,0,0,0,5,173,36,,,,
08.03.2020,27,25,27,27,0,0,0,5,221,48,,,,
09.03.2020,36,9,36,9,0,0,0,5,271,50,,,,
10.03.2020,52,16,52,16,0,0,0,5,,,,,,
11.03.2020,77,25,77,25,0,0,0,5,500,,250,,,
12.03.2020,103,26,102,25,0,0,1,5,742,242,,,,
13.03.2020,125,22,123,21,0,0,2,5,949,207,600,,,
14.03.2020,166,41,163,40,0,0,3,5,1299,350,,,,
15.03.2020,206,40,201,38,0,0,5,5,1497,198,1087,,,
16.03.2020,244,38,238,37,0,0,6,1,1740,243,1249,162,,
17.03.2020,293,49,284,46,0,0,9,3,2150,410,1524,275,,
18.03.2020,383,90,371,87,0,0,12,3,2844,694,1995,471,23.9,14.0
19.03.2020,441,58,425,54,0,0,16,4,3568,724,2504,509,16.6,11.3
20.03.2020,555,114,536,111,0,0,19,3,4433,865,3094,590,16.9,11.5
21.03.2020,623,68,599,63,0,0,24,5,5179,746,3501,407,16.7,10.9
22.03.2020,682,59,651,52,0,0,31,7,5718,539,3777,276,16.8,10.4
23.03.2020,724,42,689,38,0,0,35,4,6094,376,4008,231,18.8,11.2
24.03.2020,789,65,745,56,0,0,44,9,6631,537,4292,284,19.5,10.6
25.03.2020,836,47,746,1,45,45,45,1,7067,436,4507,215,21.2,11.3
26.03.2020,910,74,807,61,50,5,53,8,7744,677,4889,382,20.5,11.3
27.03.2020,1003,93,879,72,64,14,60,7,8520,776,5215,326,23.1,11.5
28.03.2020,1082,79,948,69,70,6,64,4,9168,648,5509,294,24.1,11.5
29.03.2020,1205,123,1048,100,86,16,71,7,10137,969,5994,485,24.8,12.0
30.03.2020,1292,87,1111,63,107,21,74,3,10640,503,6254,260,28.0,13.2
31.03.2020,1352,60,1120,9,122,15,110,36,11275,635,6530,276,26.5,12.7
01.04.2020,1398,46,1134,14,144,22,120,10,11958,683,6812,282,24.3,11.3
02.04.2020,1443,45,1150,16,165,21,128,8,12682,724,7082,270,21.9,9.4
03.04.2020,1522,79,1197,47,183,18,142,14,13981,1299,7541,459,17.9,6.9
04.04.2020,1611,89,1266,69,199,16,146,4,15050,1069,8040,499,17.2,6.9
05.04.2020,1653,42,1283,17,214,15,156,10,15728,678,8338,298,16.7,6.8
06.04.2020,1732,79,1316,33,252,38,164,8,16852,1124,8819,481,16.6,6.9
07.04.2020,1791,59,1329,13,290,38,172,8,17766,914,9032,213,18.0,7.1
08.04.2020,1859,68,1356,27,325,35,178,6,18870,1104,9752,720,14.5,6.5
09.04.2020,1911,52,1369,13,355,30,187,9,19880,1010,10294,542,13.2,6.2
10.04.2020,1974,63,1381,12,401,46,192,5,20871,991,10712,418,12.8,6.0
11.04.2020,2041,67,1399,18,442,41,200,8,22186,1315,11265,553,11.2,5.7
12.04.2020,2094,53,1401,2,489,47,204,4,23246,1060,11677,412,12.2,5.4
13.04.2020,2145,51,1393,-8,537,48,215,11,24157,911,12044,367,13.4,5.5
14.04.2020,2180,35,1411,18,552,15,217,2,24457,300,12194,150,23.3,5.7
15.04.2020,2224,44,1416,5,587,35,221,4,25370,913,12551,357,12.3,5.7
16.04.2020,2268,44,1408,-8,632,45,228,7,26416,1046,12962,411,10.7,5.5
17.04.2020,2296,28,1386,-22,678,46,232,4,27698,1282,13515,553,5.1,4.3
18.04.2020,2325,29,1344,-42,742,64,239,7,28888,1190,13977,462,6.3,3.3
19.04.2020,2380,55,1340,-4,795,53,245,6,30361,1473,14783,806,6.8,3.1
20.04.2020,2395,15,1306,-34,840,45,249,4,31381,1020,15089,306,4.9,2.6
21.04.2020,2412,17,1292,-14,868,28,252,3,31987,606,15405,316,5.4,2.7
22.04.2020,2416,4,1262,-30,898,30,256,4,32722,735,15736,331,1.2,2.4
23.04.2020,2435,19,1235,-27,939,41,261,5,33994,1272,16442,706,2.7,1.5
24.04.2020,2456,21,695,-540,1498,559,263,2,35062,1068,17024,582,3.6,1.7
